STATIONID,DEPTH_EMAX,TEMPSURF,TEMPMID,SALSURF,SALMID,SALMAX,OXYSURF,OXYMID,OXYMAX,CHLORSURF,CHLORMID,CHLORMAX,TURBSURF,TURBMID,TURBMAX,CRUISEID,FAUN_ZONE,STAT_ZONE,TEMP_SSURF,TEMP_BOT,TEMP_SAIR,HAULVALUE,TIME_MIL,DECSLAT,DECSLON,DECELAT,DECELON,MO_DAY_YR,WAVE_HT,YEAR,DAYOFYEAR,SAMPLE_BM,SAMPLE_BF,SAMPLE_PM,SAMPLE_PF,SAMPLE_WM,SAMPLE_WF,CNT_BM,CNT_BF,CNT_PM,CNT_PF,CNT_WM,CNT_WF,GEAR_SIZE,GEAR_TYPE,MESH_SIZE,MIN_FISH
387,5.0,29.8,29.7,18.61,19.6,20.39,8.2,8.2,6.0,,,,,,,465,7.0,17.0,29.8,29.4,29.0,G,911,29.641,-93.886,29.642,-93.899,1999-06-07,0.6,1999.0,158.0,,,,,0.076,,,,,,2.0,,20.0,ST,1.5,10.0
388,11.0,29.2,28.6,22.74,27.64,29.04,7.6,5.2,5.0,,,,,,,465,7.0,17.0,29.2,28.0,29.0,G,1030,29.59,-93.73,29.597,-93.727,1999-06-07,0.6,1999.0,158.0,,0.009,,,0.05,,,1.0,,,2.0,,20.0,ST,1.5,10.0
389,12.0,29.7,28.8,21.01,26.17,29.81,7.8,6.3,5.9,,,,,,,465,7.0,17.0,29.7,28.2,31.0,G,1154,29.573,-93.78,29.577,-93.782,1999-06-07,0.2,1999.0,158.0,,0.008,,,,0.04,,1.0,,,,1.0,20.0,ST,1.5,10.0
390,11.0,29.9,28.8,17.72,23.69,28.98,7.6,5.5,4.9,,,,,,,465,7.0,17.0,29.9,28.2,29.0,G,1235,29.573,-93.831,29.576,-93.825,1999-06-07,0.2,1999.0,158.0,,,,,0.01,,,,,,1.0,,20.0,ST,1.5,10.0
391,12.0,30.1,28.9,19.07,26.94,29.3,7.8,6.3,6.2,,,,,,,465,7.0,17.0,30.1,28.2,28.0,G,1423,29.54,-93.846,29.542,-93.842,1999-06-07,0.6,1999.0,158.0,0.01,0.01,,,,0.04,1.0,1.0,,,,1.0,20.0,ST,1.5,10.0
392,12.0,30.2,28.4,20.77,28.57,29.09,8.2,7.0,7.1,,,,,,,465,7.0,17.0,30.2,28.3,28.0,G,1512,29.524,-93.863,29.526,-93.858,1999-06-07,0.6,1999.0,158.0,,0.005,,,0.038,0.04,,2.0,,,1.0,1.0,20.0,ST,1.5,10.0
393,7.0,30.4,29.7,16.45,20.6,28.99,8.4,5.8,3.6,,,,,,,465,7.0,17.0,30.4,28.5,30.0,G,1605,29.592,-93.932,29.593,-93.928,1999-06-07,0.6,1999.0,158.0,0.05,0.04,,,,0.08,5.0,4.0,,,,2.0,20.0,ST,1.5,10.0
394,11.0,30.7,29.2,17.21,28.54,29.51,9.2,6.3,6.1,,,,,,,465,7.0,17.0,30.7,28.3,30.0,G,1653,29.543,-93.958,29.543,-93.966,1999-06-07,0.6,1999.0,158.0,0.01,,,,0.105,0.11,2.0,,,,3.0,2.0,20.0,ST,1.5,10.0
395,8.0,28.9,29.1,15.88,24.72,27.3,7.9,5.5,4.3,,,,,,,465,7.0,17.0,28.9,28.9,28.0,G,815,29.661,-93.78,29.661,-93.772,1999-06-16,0.1,1999.0,167.0,0.08,0.119,,,,,12.0,15.0,,,,,20.0,ST,1.5,10.0
396,8.0,28.9,28.2,16.78,25.7,27.1,7.0,5.0,3.6,,,,,,,465,7.0,17.0,28.9,28.7,28.0,G,851,29.659,-93.753,29.659,-93.762,1999-06-16,0.1,1999.0,167.0,0.217,0.18,,,,,26.0,20.0,,,,,20.0,ST,1.5,10.0
399,8.0,29.0,29.3,16.18,23.22,26.74,7.8,6.0,1.6,,,,,,,465,7.0,17.0,29.0,28.7,29.0,G,1106,29.675,-93.729,29.675,-93.72,1999-06-16,0.1,1999.0,167.0,0.01,0.09,,,,,2.0,12.0,,,,,20.0,ST,1.5,10.0
400,8.0,29.2,29.2,16.87,24.64,26.27,8.1,5.4,3.8,,,,,,,465,7.0,17.0,29.2,28.8,30.0,G,1148,29.676,-93.691,29.675,-93.697,1999-06-16,0.1,1999.0,167.0,0.028,,,,,,4.0,,,,,,20.0,ST,1.5,10.0
401,9.0,29.1,29.1,18.34,25.91,28.09,7.5,6.1,4.1,,,,,,,465,7.0,17.0,29.1,28.7,30.0,G,1243,29.626,-93.746,29.625,-93.738,1999-06-16,0.1,1999.0,167.0,0.02,0.03,,,,,2.0,3.0,,,,,20.0,ST,1.5,10.0
402,11.0,29.4,28.8,19.7,26.95,28.35,7.3,5.0,4.0,,,,,,,465,7.0,17.0,29.4,28.7,30.0,G,1341,29.592,-93.706,29.593,-93.713,1999-06-16,0.1,1999.0,167.0,0.009,0.01,,,0.029,,1.0,1.0,,,1.0,,20.0,ST,1.5,10.0
504,14.0,24.98,22.41,29.65,34.76,35.01,4.6,4.4,4.1,,,,,,,413,6.0,11.0,24.98,22.21,27.0,G,843,30.157,-88.018,30.147,-88.019,1997-06-04,0.1,1997.0,155.0,0.014,0.016,,,,,1.0,1.0,,,,,40.0,ST,1.63,15.0
505,13.0,25.96,24.79,21.12,30.96,34.57,7.6,5.3,0.8,,,,,,,413,6.0,11.0,25.96,22.02,31.0,G,1110,30.188,-88.31,30.176,-88.311,1997-06-04,0.1,1997.0,155.0,0.005,,,,,,1.0,,,,,,40.0,ST,1.63,18.0
508,34.0,27.72,23.02,27.95,36.02,36.14,6.6,4.7,4.9,,,,,,,413,6.0,11.0,27.72,22.12,32.0,G,1622,29.863,-88.34,29.9,-88.335,1997-06-04,0.0,1997.0,155.0,,,0.01,0.01,,,,,1.0,1.0,,,40.0,ST,1.63,42.0
